Scenario,Circuit,Samples,ObservedLapTime_s,IdealizedThermalLap_s,ModeledGripDeficit_s,DeficitPctLap,Deficit_s_per_km,PeakEffectiveState_C,MeanEffectiveState_C,PercentInNominalWindow,MeanMuRatio,MinMuRatio,MaxGripLossPct,AirTemp_C,TrackTemp_C,Iterations,Converged
Baseline,Bahrain,5366,89.1288278537029,92.3133715063518,3.18454365264891,3.5729670515538,0.593577568061307,189.379771447584,137.281161335319,38.0730525531122,0.887641410390101,0.801418618249361,19.8581381750639,17.9,20.9,3,1
Baseline,Monaco,3286,70.3546961248182,73.7376564230533,3.38296029823508,4.808435661826,1.02982048652514,176.525252497104,132.961512657155,36.3055386488131,0.89532314606811,0.804982298693023,19.5017701306977,21.2,43.3,4,1
Baseline,Monza,5750,79.7082519464033,82.2067755303593,2.49852358395599,3.13458584643911,0.434601423544266,194.54806117661,136.277524776739,38.8521739130435,0.888436417537705,0.800812908895242,19.9187091104758,33.7,47.9,4,1
Baseline,Silverstone,5835,86.2229050259603,91.0141961336034,4.79129110764315,5.55686578433024,0.821270330415349,218.012923916214,151.825382022573,32.2707797772065,0.867434661657828,0.800044670185328,19.9955329814672,14.4,21.7,3,1
Baseline,Suzuka,5767,88.1596249892324,93.4923277658948,5.33270277666244,6.04891726492005,0.9248530656716,221.69062773987,158.965250087397,25.5938963065719,0.857512686545419,0.800026819246439,19.9973180753561,17,24.9,4,1
