Circuit,MeanDeficit_s,P2_5_s,Median_s,P97_5_s,MeanPctLap,Mean_s_per_km
Bahrain,3.1219265232728,1.69650668062934,3.16775786894046,4.31721396009691,3.50271242027009,0.581906155316458
Monaco,3.31655261582391,1.65006487479138,3.36421542918201,4.77696363952076,4.71404582565451,1.00960505808947
Monza,2.45308303307952,1.28455573635008,2.49386371405592,3.45010653835831,3.0775772560274,0.426697344421556
Silverstone,4.69563877650015,2.98570302322877,4.77807753188114,5.99983242499437,5.44592968085032,0.804874661724401
Suzuka,5.22778283936999,3.74968289508243,5.32243353199221,6.20430899328453,5.92990594051245,0.90665675327263
