Bahrain,Monaco,Monza,Silverstone,Suzuka
0.645938221704063,1.13484617499206,0.475892495532796,0.873911243104362,0.963877420796742
0.567367511590777,0.976221823713172,0.41674818450035,0.795095172505377,0.903522717636455
0.78290076169526,1.40721158313574,0.579987366230172,1.00510278536184,1.05887095868764
0.502981043090394,0.843257345792061,0.364696497510791,0.726599375691399,0.847994143615539
0.603636691266424,1.072511716743,0.449791761899174,0.836236996887194,0.940328950149935
0.737177740982447,1.30576108972693,0.539117075578779,0.95970711372293,1.02406722479903
0.634811008901175,1.10535159200648,0.469227266843015,0.859893617898386,0.950161925325753
0.682856013067056,1.21069686604175,0.500348157903207,0.912310629522698,0.992225478415181
0.263640137547301,0.420230497776536,0.181576031785592,0.436698181444339,0.585668178990993
0.617021552220867,1.07433846280625,0.453192082194046,0.845323677392092,0.942164738494661
0.739655751691152,1.34178059923601,0.550786755260289,0.974377051205128,1.03987879946963
0.567422396072039,0.971228022041112,0.412364486944526,0.791721704397737,0.897789117354947
0.452941083228043,0.770571026562128,0.334314493706983,0.668848907965201,0.785467675865899
0.751626312439945,1.34186431626914,0.554199242681548,0.973565101002611,1.03462276910193
0.869408217712824,1.55746245475581,0.645567364919955,1.08154218441341,1.11440743479866
0.629070975247142,1.09782122744607,0.464662375667208,0.855382911056296,0.947408112879708
0.6592318242106,1.15887457775026,0.488753321979158,0.883848278322949,0.96766128006441
0.711113435260097,1.25232578587516,0.517990691947993,0.937961499778457,1.00774619993337
0.572868995369196,1.02679062948228,0.435088555022407,0.803917604099466,0.911413274140397
0.562569611693039,0.961151271024537,0.408733322283449,0.78768548460027,0.896603442245225
0.64873846942897,1.14031547546354,0.47866270927899,0.876758287657304,0.965815232961085
0.627337839031468,1.09776824076159,0.4580919180359,0.853080649184033,0.947896173364931
0.533474196846057,0.901302147333021,0.386367523512034,0.757376028845389,0.871872739801682
0.727525273721087,1.3084198452909,0.539346082662156,0.956052459452881,1.02470086322745
0.606459352077541,1.06644440998669,0.447268600027005,0.834981541784299,0.935391532015495
0.567290318581556,0.972795678268888,0.412059424191796,0.794305111737408,0.907644164835247
0.495569022629808,0.822765216720631,0.362583956080195,0.720857610469046,0.851860377214569
0.504858643320353,0.871731477344088,0.372755305140429,0.731669703031815,0.855568733493556
0.510114671698789,0.907787885918609,0.386249581969031,0.742730090464154,0.871479456934414
0.726034675129164,1.29556619045934,0.532709619445876,0.954018621227675,1.02176115509383
0.546223645368146,0.931953944258924,0.397658591871592,0.770314864738714,0.880785518953838
0.830138592377625,1.49468737826329,0.615032316974761,1.05046322621275,1.09230059201421
0.453188077958295,0.743862628347101,0.324963260451612,0.669588524915073,0.788967856441708
0.609519002809103,1.06405785139279,0.44912330974668,0.835019179682072,0.930709194871092
0.493497418019537,0.82400186138807,0.355246840877263,0.714886097939148,0.837043894774505
0.61006360027301,1.05819035575859,0.445001813702126,0.83600710169826,0.934290404467206
0.760024529083152,1.37064886484157,0.566337777149903,0.987220967316388,1.04811891352577
0.462220842332202,0.766409813019728,0.33360146550834,0.682370815318397,0.808680142542143
0.723383776412968,1.29265052485988,0.532325191856333,0.952541096152745,1.02162176504649
0.642350079946661,1.13836703509663,0.474583745263295,0.873619068126083,0.966979136911666
0.578901063195891,0.998858457089014,0.42553869059693,0.803960241503036,0.906284722391674
0.67129931099635,1.17368729684329,0.490480096839993,0.89637660386784,0.978789867070031
0.680936589035131,1.17837344124653,0.492946057506021,0.907461806924848,0.984261782295517
0.721261408585874,1.29613985126783,0.533346752148265,0.953092655733368,1.02357870858251
0.458644875972543,0.777046242369457,0.33567702227041,0.68143948515585,0.815769934588221
0.529968597385532,0.943747748922896,0.403927848795918,0.766909240275376,0.895020871433303
0.492361152414236,0.812232319241097,0.354709660835727,0.714174285036365,0.834924335620005
0.597251704424194,1.02192572287594,0.431771195672927,0.82249730657728,0.923762534349935
0.724466443847818,1.29661667585451,0.541014475555995,0.950887537388605,1.02068889839286
0.371726758360319,0.598780212628605,0.26423283840806,0.579045511481134,0.721609017003804
0.667414929158151,1.16377756123232,0.486207315071529,0.891110239296347,0.973026281340878
0.389023132363329,0.626302345691425,0.277607533206292,0.600451816309935,0.736199025685459
0.421776341092525,0.710346792494479,0.309288125984382,0.638908403476199,0.767127786832083
0.528669593788611,0.893943151510071,0.385733443942794,0.753627785723652,0.868140113645005
0.424895012826423,0.678622359672149,0.298296002643045,0.637573634114439,0.767541753523009
0.68564175418785,1.2349312563714,0.510549239705888,0.921935643374903,1.00535224189614
0.535875407880507,0.908145713725158,0.391929918735598,0.762897511300891,0.889708965394377
0.626569148218196,1.09237415235356,0.458411574758776,0.856763525704584,0.955268020047644
0.550400983673408,0.949450097847701,0.404441046346291,0.775436448190958,0.884522913483376
0.447636322121835,0.730079235239635,0.320729252511461,0.665815371903717,0.792791284453995
0.752969895408478,1.35716693011828,0.559772998719333,0.981030099047827,1.04369261470897
0.598069617838,1.01907842308852,0.430772184235048,0.821761519858823,0.921246493956049
0.487957724898063,0.839387521566587,0.359989682364478,0.71290647566478,0.838670486596427
0.553565798035322,0.940490015368171,0.40180415670499,0.779442016386245,0.893234759136672
0.536124491567261,0.90961961038739,0.390336893920573,0.761125360113088,0.875132751484009
0.609989062600276,1.05960229356982,0.447591770597256,0.839893979888312,0.940649870851741
0.660390494719284,1.15470589579793,0.485355670060594,0.884629245731942,0.968979142787443
0.795010162608042,1.43043663567648,0.589935472409267,1.01673569079689,1.06770823967165
0.307970632909482,0.463996451509023,0.210481835706498,0.499417865102066,0.632996913011062
0.504074921310721,0.87823618416399,0.36853865746554,0.728322991443338,0.854734117071091
0.666844273802165,1.17668351794616,0.490095436754242,0.897026816125438,0.982809562475941
0.617565610748191,1.08574046053885,0.457790829950231,0.844619121734182,0.939292675013542
0.498696734849642,0.829529613901889,0.357762896326132,0.719737497916193,0.840601810063183
0.483889541229728,0.841102876469639,0.357347121229399,0.709834016723755,0.842880953394428
0.715801695915818,1.28103240388252,0.528271308656056,0.945368064853911,1.0179543865913
0.53556058324414,0.929215476092112,0.399311101224768,0.768034151446027,0.892485862058853
0.794620770623983,1.41995112763503,0.587068297200911,1.01312791713001,1.06412133920698
0.61048557783289,1.07268988173846,0.452009435680529,0.83993899841809,0.938644104700315
0.604228730249734,1.06607713035239,0.44880721803578,0.835968214458539,0.938798912307305
0.753841635708551,1.35236040889151,0.55591006468298,0.980412257650661,1.04145379498092
0.465760669757819,0.800181941285003,0.342938961511192,0.6899359514744,0.824363660634472
0.579511492750339,1.0023092512221,0.427917842189775,0.810788408892092,0.921475755869637
0.613688545994988,1.06378891700153,0.447656918860853,0.840255459647573,0.937821501476363
0.468409275594768,0.7836339618618,0.337223407077551,0.687681326524893,0.812304636969531
0.749230865594907,1.33030746580544,0.550831902318304,0.970442450206073,1.03213936724088
0.651991497651679,1.14371418857496,0.478923644221662,0.87772320357233,0.964726561849235
0.435413848163739,0.747238393895081,0.322961367944256,0.658110891750715,0.797929893420523
0.777563633770793,1.40974984160554,0.581886553990387,1.00534310898357,1.06247817376837
0.514958239876598,0.883733999091813,0.38039905902449,0.743648213414162,0.868988076132888
0.436444445368516,0.724662058258274,0.313736282997593,0.653627189773274,0.785046595160989
0.619684560015899,1.08668450488894,0.455691460222457,0.849963944209629,0.948722819977224
0.67005267768404,1.18693169506666,0.49706610587546,0.896234744074399,0.978666202004559
0.694657432888425,1.24241318332927,0.520671845231773,0.922962553777303,1.0003322177748
0.529232498400565,0.900061767009912,0.388669027182821,0.756181475141072,0.872595870178658
0.623744827196675,1.0657783205655,0.452623986341086,0.851224102925036,0.946166243346916
0.607264262931615,1.05095351609969,0.443585312061626,0.835678847365318,0.937138327436945
0.793654748153827,1.43186101220697,0.589264372617052,1.01670264776465,1.06793807488824
0.688559938135891,1.23401018939906,0.513455538603102,0.9185271523959,0.999612325249674
0.555503057422941,0.937285918828545,0.39950765386973,0.778469296281795,0.888465631092819
0.519861876618382,0.862732656349828,0.377042044850632,0.74443633220185,0.866272713154329
